1,522.2167,284.1797,734.2086
2,527.4976,27.6032,828.2983
3,466.9657,169.7998,632.7765
4,329.7605,114.6176,864.9348
5,384.7712,39.7278,766.9078
6,396.3406,245.1724,780.5932
7,427.3,-2.6069,696.4968
8,312.6321,268.4049,771.0305
9,564.9763,172.0668,681.0823
10,247.656,-22.3027,877.4317
11,546.6338,-42.2115,789.3236
12,508.0612,92.0562,773.1403
13,342.1079,238.198,786.1964
14,564.1664,146.9121,823.0145
15,325.3149,245.8395,797.1989
16,468.5715,165.8831,670.0689
17,559.1806,-17.4058,819.587
18,574.4646,179.6976,852.0308
19,553.1484,278.2029,697.6641
20,340.665,82.5615,667.052
21,536.4421,114.361,700.945
22,466.0266,-21.2384,836.4941
23,547.3623,245.1221,604.3282
24,523.2461,124.3655,678.0296
25,464.1627,108.0438,638.624
26,411.9288,-17.4447,721.0487
27,411.6344,50.9085,854.8716
28,370.8611,246.2892,827.5563
29,536.6023,137.9673,663.6091
30,402.6698,158.9739,773.8995
31,431.6431,31.7608,845.5288
32,600.1655,82.74,758.8995
33,400.4757,293.9461,787.9052
34,302.1148,109.4316,831.6363
35,259.8763,-33.2962,833.6589
36,365.5181,-25.2309,687.3966
37,426.4408,160.8756,623.8554
38,461.1996,-6.4313,847.4028
39,267.97,194.1243,681.2995
40,464.8278,191.8065,711.6526
41,363.0303,-32.5533,796.8904
42,270.1682,184.4613,821.2721
43,538.1621,295.1877,650.2928
44,428.964,120.812,815.7785
45,323.6557,229.9615,809.009
46,312.6622,89.7245,557.0122
47,-551.9347,-340.5495,584.1128
48,-522.4711,-280.6569,655.0567
49,-653.9016,-65.1357,491.8586
50,-491.5128,-207.0841,763.6772
51,-601.8538,-235.5049,477.7918
52,-477.4074,304.4269,653.0296
54,-488.198,369.5092,477.1524
55,-367.7792,440.0485,616.9152
56,-524.2646,315.2787,624.8037
57,-569.9132,-185.1435,664.2534
58,-569.423,-325.1636,348.1161
59,833.5994,-146.6667,452.9117
60,761.7045,-289.1268,433.9423
