1,520.3928,282.2705,738.0138
2,526.8455,27.7981,827.0754
3,467.603,166.3646,631.8814
4,329.1833,113.7042,863.9802
5,386.0229,43.3602,764.1497
6,394.9351,244.3073,781.3429
7,428.734,0.2697,694.0414
8,311.6375,267.1719,771.06
9,564.429,171.2624,680.8978
10,245.2535,-24.8994,877.8542
11,545.5122,-42.8157,790.5357
12,507.2995,89.763,774.6686
13,340.623,237.1312,786.2988
14,561.1113,144.7348,826.716
15,323.9763,242.7133,799.3243
16,467.2772,164.1194,672.6458
17,555.269,-18.3042,823.2847
18,577.2005,179.7691,847.801
19,553.4327,279.2837,695.0851
20,342.6021,82.2871,665.4693
21,538.1655,115.3731,697.0821
22,468.113,-22.6731,833.9235
23,546.6857,243.3162,605.6078
24,523.6626,122.8906,678.6165
25,462.8272,106.6349,641.2065
26,413.7235,-14.8947,717.3178
27,413.913,54.2712,851.0967
28,372.0248,249.72,825.0473
29,538.3098,136.1387,660.1572
30,404.6084,157.9028,772.8118
31,426.924,30.8983,848.5774
32,600.7888,83.5226,756.3505
33,402.7162,293.0379,786.3719
34,300.9246,108.2899,831.763
35,259.9319,-36.1156,833.1054
36,367.3818,-25.2802,685.2661
37,427.3941,159.579,624.7679
38,456.6091,-4.8291,851.2749
39,269.019,192.2914,681.6297
40,462.8381,189.5314,714.641
41,360.9031,-31.5671,797.1366
42,272.3285,181.8868,820.4367
43,537.8512,293.2455,651.6094
44,426.9431,120.2084,815.7667
45,322.4691,228.7774,809.3662
46,313.4523,88.5305,556.7246
47,-553.0454,-340.2235,581.8938
48,-524.639,-280.1028,653.6099
49,-655.6009,-63.3162,488.8965
50,-495.2701,-207.0793,760.9708
51,-604.1141,-234.2075,474.5505
52,-479.2326,307.4876,650.1617
54,-489.481,371.2981,474.6056
55,-369.4565,442.4099,614.4381
56,-526.266,317.9129,621.4454
57,-572.3194,-184.0477,662.0428
58,-570.5699,-324.2238,346.4618
59,834.3961,-142.9368,452.2504
60,763.3433,-285.7667,434.5067
